10en,Module,Name,DemangledName,Type,RawType,Size,DefaultValues,Comment,IsReadOnly
0x5E56E0,,IdentityMatrix,IdentityMatrix,,,1,,,1
0x5E58A8,,riid,riid,IID,,16,,,1
0x5E58B8,,rclsid,rclsid,IID,,16,,,1
0x5E5978,,iid,iid,IID,,16,,,1
0x5E7498,,TlsDirectory,TlsDirectory,,,1,,,1
0x5E749C,,TlsEnd_ptr,TlsEnd_ptr,,,1,,,1
0x5E74A0,,TlsIndex_ptr,TlsIndex_ptr,,,1,,,1
0x5E74A4,,TlsCallbacks_ptr,TlsCallbacks_ptr,,,1,,,1
0x5E74A8,,TlsSizeOfZeroFill,TlsSizeOfZeroFill,,,1,,,1
0x5E74AC,,TlsCharacteristics,TlsCharacteristics,,,1,,,1
0x5EA02C,,_ZTV21CAnimBlendAssociation,`vtable for'CAnimBlendAssociation,,,1,,,0
0x5EA060,,_ZTV18CAnimBlendSequence,`vtable for'CAnimBlendSequence,,,1,,,0
0x5EB724,,_ZN12CAnimManager24ms_aAnimAssocDefinitionsE,CAnimManager::ms_aAnimAssocDefinitions,,,1,,,0
0x5EBF44,,_ZTV9CBuilding,`vtable for'CBuilding,,,1,,,0
0x5EBFB4,,_ZTV10CTreadable,`vtable for'CTreadable,,,1,,,0
0x5EC194,,_ZL24desiredNumVehiclesLoaded,desiredNumVehiclesLoaded,,,1,,,0
0x5EC558,,_ZZN10CCollision19LoadCollisionScreenE10eLevelNameE10levelNames,CCollision::LoadCollisionScreen(eLevelName)::levelNames,,,1,,,0
0x5EC8B8,,_ZN8CCarCtrl20MaxNumberOfCarsInUseE,CCarCtrl::MaxNumberOfCarsInUse,,,1,,,0
0x5ECEA8,,_ZL8hGarages,hGarages,int,,4,,,0
0x5EE520,,_ZZ21RemoveUnusedCollisionvE15dontDeleteArray,RemoveUnusedCollision(void)::dontDeleteArray,,,1,,,0
0x5EFBF0,,DbgLineColour,DbgLineColour,,,1,,,0
0x5F03D8,,_ZN7CCamera20m_bUseMouse3rdPersonE,CCamera::m_bUseMouse3rdPerson,,,1,,,0
0x5F0AB0,,SequenceOfCams,SequenceOfCams,int[],,4,,,0
0x5F0AEC,,SequenceOfPedCams,SequenceOfPedCams,int[],,4,,,0
0x5F0EB8,,_ZTV7CCamera,`vtable for'CCamera,,,1,,,0
0x5F0F40,,_ZTV6CDummy,`vtable for'CDummy,,,1,,,0
0x5F11A8,,_ZTV7CEntity,`vtable for'CEntity,,,1,,,0
0x5F18F8,CFileMgr,_ZN8CFileMgr14ms_rootDirNameE,CFileMgr::ms_rootDirName,char[128],,128,,,0
0x5F2E48,,_ZN12CMenuManager16m_PrefsSfxVolumeE,CMenuManager::m_PrefsSfxVolume,char[],,4,,,0
0x5F2E4C,,_ZN12CMenuManager18m_PrefsMusicVolumeE,CMenuManager::m_PrefsMusicVolume,char[],,4,,,0
0x5F2E50,,_ZN12CMenuManager17m_PrefsBrightnessE,CMenuManager::m_PrefsBrightness,char[],,4,,,0
0x5F2E54,,_ZN12CMenuManager20m_PrefsShowSubtitlesE,CMenuManager::m_PrefsShowSubtitles,char,,1,,,0
0x5F2E5C,,_ZN12CMenuManager16m_PrefsVsyncDispE,CMenuManager::m_PrefsVsyncDisp,char,,1,,,0
0x5F2E60,,_ZN12CMenuManager19m_PrefsFrameLimiterE,CMenuManager::m_PrefsFrameLimiter,char,,1,,,0
0x5F2E70,,_ZN12CMenuManager16m_KeyPressedCodeE,CMenuManager::m_KeyPressedCode,,,1,,,0
0x5F2F74,,_ZN12CMenuManager10m_PrefsDMAE,CMenuManager::m_PrefsDMA,char,,1,,,0
0x5F33E4,,gErrorSampleTriggered,gErrorSampleTriggered,,,1,,,0
0x5F4DD0,CGame,_ZN5CGame9bDemoModeE,CGame::bDemoMode,const bool,,1,true,,0
0x5F4DD4,CGame,_ZN5CGame9nastyGameE,CGame::nastyGame,const bool,,1,true,,0
0x5F4F28,,fovValue,fovValue,const float,,4,120.0f,,0
0x5F5064,,y2,y2,float,,4,,,0
0x5F556C,,splashTxdId,splashTxdId,,,1,,,0
0x5F5958,,MI_TRAFFICLIGHTS,MI_TRAFFICLIGHTS,,,1,,,0
0x5F595C,,MI_SINGLESTREETLIGHTS1,MI_SINGLESTREETLIGHTS1,,,1,,,0
0x5F5960,,MI_SINGLESTREETLIGHTS2,MI_SINGLESTREETLIGHTS2,,,1,,,0
0x5F5964,,MI_SINGLESTREETLIGHTS3,MI_SINGLESTREETLIGHTS3,,,1,,,0
0x5F5968,,MI_DOUBLESTREETLIGHTS,MI_DOUBLESTREETLIGHTS,,,1,,,0
0x5F59AC,,MODELID_CRANE_1,MODELID_CRANE_1,,,1,,,0
0x5F59B0,,MODELID_CRANE_2,MODELID_CRANE_2,,,1,,,0
0x5F59B4,,MODELID_CRANE_3,MODELID_CRANE_3,,,1,,,0
0x5F5A00,,MI_FIRE_HYDRANT,MI_FIRE_HYDRANT,,,1,,,0
0x5F5A04,,MI_COLLECTABLE1,MI_COLLECTABLE1,,,1,,,0
0x5F5A08,,MI_MONEY,MI_MONEY,,,1,,,0
0x5F5A10,,MI_GARAGEDOOR1,MI_GARAGEDOOR1,,,1,,,0
0x5F5A14,,MI_GARAGEDOOR2,MI_GARAGEDOOR2,,,1,,,0
0x5F5A18,,MI_GARAGEDOOR3,MI_GARAGEDOOR3,,,1,,,0
0x5F5A1C,,MI_GARAGEDOOR4,MI_GARAGEDOOR4,,,1,,,0
0x5F5A20,,MI_GARAGEDOOR5,MI_GARAGEDOOR5,,,1,,,0
0x5F5A24,,MI_GARAGEDOOR6,MI_GARAGEDOOR6,,,1,,,0
0x5F5A28,,MI_GARAGEDOOR7,MI_GARAGEDOOR7,,,1,,,0
0x5F5A2C,,MI_GARAGEDOOR8,MI_GARAGEDOOR8,,,1,,,0
0x5F5A30,,MI_GARAGEDOOR9,MI_GARAGEDOOR9,,,1,,,0
0x5F5A34,,MI_GARAGEDOOR10,MI_GARAGEDOOR10,,,1,,,0
0x5F5A38,,MI_GARAGEDOOR11,MI_GARAGEDOOR11,,,1,,,0
0x5F5A3C,,MI_GARAGEDOOR12,MI_GARAGEDOOR12,,,1,,,0
0x5F5A40,,MI_GARAGEDOOR13,MI_GARAGEDOOR13,,,1,,,0
0x5F5A44,,MI_GARAGEDOOR14,MI_GARAGEDOOR14,,,1,,,0
0x5F5A48,,MI_GARAGEDOOR15,MI_GARAGEDOOR15,,,1,,,0
0x5F5A4C,,MI_GARAGEDOOR16,MI_GARAGEDOOR16,,,1,,,0
0x5F5A50,,MI_GARAGEDOOR17,MI_GARAGEDOOR17,,,1,,,0
0x5F5A54,,MI_GARAGEDOOR18,MI_GARAGEDOOR18,,,1,,,0
0x5F5A58,,MI_GARAGEDOOR19,MI_GARAGEDOOR19,,,1,,,0
0x5F5A5C,,MI_GARAGEDOOR20,MI_GARAGEDOOR20,,,1,,,0
0x5F5A60,,MI_GARAGEDOOR21,MI_GARAGEDOOR21,,,1,,,0
0x5F5A64,,MI_GARAGEDOOR22,MI_GARAGEDOOR22,,,1,,,0
0x5F5A68,,MI_GARAGEDOOR23,MI_GARAGEDOOR23,,,1,,,0
0x5F5A6C,,MI_GARAGEDOOR24,MI_GARAGEDOOR24,,,1,,,0
0x5F5A70,,MI_GARAGEDOOR25,MI_GARAGEDOOR25,,,1,,,0
0x5F5A74,,MI_GARAGEDOOR26,MI_GARAGEDOOR26,,,1,,,0
0x5F5A78,,MI_GARAGEDOOR27,MI_GARAGEDOOR27,,,1,,,0
0x5F5A7C,,MI_GARAGEDOOR28,MI_GARAGEDOOR28,,,1,,,0
0x5F5A80,,MI_GARAGEDOOR29,MI_GARAGEDOOR29,,,1,,,0
0x5F5A84,,MI_GARAGEDOOR30,MI_GARAGEDOOR30,,,1,,,0
0x5F5A88,,MI_GARAGEDOOR31,MI_GARAGEDOOR31,,,1,,,0
0x5F5A90,,MI_GARAGEDOOR32,MI_GARAGEDOOR32,,,1,,,0
0x5F5A94,,MI_CRUSHERBODY,MI_CRUSHERBODY,,,1,,,0
0x5F5ADC,,MI_GLASS1,MI_GLASS1,,,1,,,0
0x5F5AE0,,MI_GLASS2,MI_GLASS2,,,1,,,0
0x5F5AE4,,MI_GLASS3,MI_GLASS3,,,1,,,0
0x5F5AE8,,MI_GLASS4,MI_GLASS4,,,1,,,0
0x5F5AEC,,MI_GLASS5,MI_GLASS5,,,1,,,0
0x5F5AF0,,MI_GLASS6,MI_GLASS6,,,1,,,0
0x5F5AF4,,MI_GLASS7,MI_GLASS7,,,1,,,0
0x5F5AF8,,MI_GLASS8,MI_GLASS8,,,1,,,0
0x5F5AFC,,MI_BRIDGELIFT,MI_BRIDGELIFT,,,1,,,0
0x5F5B04,,MI_BRIDGEROADSEGMENT,MI_BRIDGEROADSEGMENT,,,1,,,0
0x5F5B08,,MI_EXPLODINGBARREL,MI_EXPLODINGBARREL,,,1,,,0
0x5F5B10,,MI_PICKUP_ADRENALINE,MI_PICKUP_ADRENALINE,,,1,,,0
