10en,11en,NameComment
0x5E5320,0x5E5320,CalculateIndexCharacter
0x5E53E9,0x5E53E9,_nullString
0x5E56E0,0x5E56E0,IdentityMatrix
0x5E5720,0x5E5720,clearFlagsConvTable
0x5E58A8,0x5E58A8,riid
0x5E58B8,0x5E58B8,rclsid
0x5E5978,0x5E5978,iid
0x5E5BD4,0x5E5BD4,DIMouseDataFormat
0x5E5E74,0x5E5E74,_RwD3D8PrimConvTable
0x5E6738,0x5E6738,matrix
0x5E6C1C,0x5E6C1C,_RwD3D8PrimConv
0x5E7250,0x5E7250,RwD3D8PrimConvTable
0x5E7498,0x5E7498,TlsDirectory
0x5E749C,0x5E749C,TlsEnd_ptr
0x5E74A0,0x5E74A0,TlsIndex_ptr
0x5E74A4,0x5E74A4,TlsCallbacks_ptr
0x5E74A8,0x5E74A8,TlsSizeOfZeroFill
0x5E74AC,0x5E74AC,TlsCharacteristics
0x5EA02C,0x5EA02C,`vtable for'CAnimBlendAssociation
0x5EA060,0x5EA060,`vtable for'CAnimBlendSequence
0x5EB724,0x5EB724,CAnimManager::ms_aAnimAssocDefinitions
0x5EBC04,0x5EBC04,musicNameIdAssoc
0x5EBF44,0x5EBF44,`vtable for'CBuilding
0x5EBFB4,0x5EBFB4,`vtable for'CTreadable
0x5EC194,0x5EC194,desiredNumVehiclesLoaded
0x5EC558,0x5EC558,CCollision::LoadCollisionScreen(eLevelName)::levelNames
0x5EC8B4,0x5EC8B4,CCarCtrl::CarDensityMultiplier
0x5EC8B8,0x5EC8B8,CCarCtrl::MaxNumberOfCarsInUse
0x5ECDD4,0x5ECDD4,gaCarsToCollectInCraigsGarages
0x5ECEA8,0x5ECEA8,hGarages
0x5ECEAC,0x5ECEAC,margin
0x5ED8D4,0x5ED8D4,AmmoForWeapon
0x5ED8FC,0x5ED8FC,AmmoForWeapon_OnStreet
0x5ED924,0x5ED924,CostOfWeapon
0x5ED94C,0x5ED94C,aRacePoints1
0x5EDEBC,0x5EDEBC,aWeaponReds
0x5EDECC,0x5EDECC,aWeaponGreens
0x5EDEDC,0x5EDEDC,aWeaponBlues
0x5EDEEC,0x5EDEEC,aWeaponScale
