10en,steam,NameComment
0x5E56E0,0,IdentityMatrix
0x5E58A8,0x5F40D0,riid
0x5E58B8,0,rclsid
0x5E5978,0x5F41A0,iid
0x5E7498,0x5F4824,TlsDirectory
0x5E749C,0x5F4828,TlsEnd_ptr
0x5E74A0,0x5F482C,TlsIndex_ptr
0x5E74A4,0x5F4830,TlsCallbacks_ptr
0x5E74A8,0x5F4834,TlsSizeOfZeroFill
0x5E74AC,0x5F4838,TlsCharacteristics
0x5EA02C,0x5F702C,`vtable for'CAnimBlendAssociation
0x5EA060,0x5F7060,`vtable for'CAnimBlendSequence
0x5EB724,0x5F8724,CAnimManager::ms_aAnimAssocDefinitions
0x5EBF44,0x5F8F44,`vtable for'CBuilding
0x5EBFB4,0x5F8FB4,`vtable for'CTreadable
0x5EC194,0x5F9194,desiredNumVehiclesLoaded
0x5EC558,0x5F9558,CCollision::LoadCollisionScreen(eLevelName)::levelNames
0x5EC8B8,0x5F98B8,CCarCtrl::MaxNumberOfCarsInUse
0x5ECEA8,0x5F9EA8,hGarages
0x5EE520,0x5FB520,RemoveUnusedCollision(void)::dontDeleteArray
0x5EFBF0,0x5FCBF0,DbgLineColour
0x5F03D8,0x5FD3D8,CCamera::m_bUseMouse3rdPerson
0x5F0AB0,0x5FD9A8,SequenceOfCams
0x5F0AEC,0x5FD9E4,SequenceOfPedCams
0x5F0EB8,0x5FDDB0,`vtable for'CCamera
0x5F0F40,0x5FDE38,`vtable for'CDummy
0x5F11A8,0x5FE0A0,`vtable for'CEntity
0x5F18F8,0x5FE7F0,CFileMgr::ms_rootDirName
0x5F2E48,0,CMenuManager::m_PrefsSfxVolume
0x5F2E4C,0,CMenuManager::m_PrefsMusicVolume
0x5F2E50,0x5FFD48,CMenuManager::m_PrefsBrightness
0x5F2E54,0x5FFD4C,CMenuManager::m_PrefsShowSubtitles
0x5F2E5C,0x5FFD54,CMenuManager::m_PrefsVsyncDisp
0x5F2E60,0x5FFD58,CMenuManager::m_PrefsFrameLimiter
0x5F2E70,0x5FFD68,CMenuManager::m_KeyPressedCode
0x5F2F74,0x5FFE6C,CMenuManager::m_PrefsDMA
0x5F33E4,0x6002DC,gErrorSampleTriggered
0x5F4DD0,0x601CB8,CGame::bDemoMode
0x5F4DD4,0x601CBC,CGame::nastyGame
0x5F4F28,0x601E10,fovValue
0x5F5064,0x601F4C,y2
0x5F556C,0x602454,splashTxdId
0x5F5958,0x602738,MI_TRAFFICLIGHTS
0x5F595C,0x60273C,MI_SINGLESTREETLIGHTS1
0x5F5960,0x602740,MI_SINGLESTREETLIGHTS2
0x5F5964,0x602744,MI_SINGLESTREETLIGHTS3
0x5F5968,0x602748,MI_DOUBLESTREETLIGHTS
0x5F59AC,0x60278C,MODELID_CRANE_1
0x5F59B0,0x602790,MODELID_CRANE_2
0x5F59B4,0x602794,MODELID_CRANE_3
0x5F5A00,0x6027E0,MI_FIRE_HYDRANT
0x5F5A04,0x6027E4,MI_COLLECTABLE1
0x5F5A08,0x6027E8,MI_MONEY
0x5F5A10,0x6027F0,MI_GARAGEDOOR1
0x5F5A14,0x6027F4,MI_GARAGEDOOR2
0x5F5A18,0x6027F8,MI_GARAGEDOOR3
0x5F5A1C,0x6027FC,MI_GARAGEDOOR4
0x5F5A20,0x602800,MI_GARAGEDOOR5
0x5F5A24,0x602804,MI_GARAGEDOOR6
0x5F5A28,0x602808,MI_GARAGEDOOR7
0x5F5A2C,0x60280C,MI_GARAGEDOOR8
0x5F5A30,0x602810,MI_GARAGEDOOR9
0x5F5A34,0x602814,MI_GARAGEDOOR10
0x5F5A38,0x602818,MI_GARAGEDOOR11
0x5F5A3C,0x60281C,MI_GARAGEDOOR12
0x5F5A40,0x602820,MI_GARAGEDOOR13
0x5F5A44,0x602824,MI_GARAGEDOOR14
0x5F5A48,0x602828,MI_GARAGEDOOR15
0x5F5A4C,0x60282C,MI_GARAGEDOOR16
0x5F5A50,0x602830,MI_GARAGEDOOR17
0x5F5A54,0x602834,MI_GARAGEDOOR18
0x5F5A58,0x602838,MI_GARAGEDOOR19
0x5F5A5C,0x60283C,MI_GARAGEDOOR20
0x5F5A60,0x602840,MI_GARAGEDOOR21
0x5F5A64,0x602844,MI_GARAGEDOOR22
0x5F5A68,0x602848,MI_GARAGEDOOR23
0x5F5A6C,0x60284C,MI_GARAGEDOOR24
0x5F5A70,0x602850,MI_GARAGEDOOR25
0x5F5A74,0x602854,MI_GARAGEDOOR26
0x5F5A78,0x602858,MI_GARAGEDOOR27
0x5F5A7C,0x60285C,MI_GARAGEDOOR28
0x5F5A80,0x602860,MI_GARAGEDOOR29
0x5F5A84,0x602864,MI_GARAGEDOOR30
0x5F5A88,0x602868,MI_GARAGEDOOR31
0x5F5A90,0x602870,MI_GARAGEDOOR32
0x5F5A94,0x602874,MI_CRUSHERBODY
0x5F5ADC,0x6028BC,MI_GLASS1
0x5F5AE0,0x6028C0,MI_GLASS2
0x5F5AE4,0x6028C4,MI_GLASS3
0x5F5AE8,0x6028C8,MI_GLASS4
0x5F5AEC,0x6028CC,MI_GLASS5
0x5F5AF0,0x6028D0,MI_GLASS6
0x5F5AF4,0x6028D4,MI_GLASS7
0x5F5AF8,0x6028D8,MI_GLASS8
0x5F5AFC,0x6028DC,MI_BRIDGELIFT
0x5F5B04,0x6028E4,MI_BRIDGEROADSEGMENT
0x5F5B08,0x6028E8,MI_EXPLODINGBARREL
0x5F5B10,0x6028F0,MI_PICKUP_ADRENALINE
0x5F5B14,0x6028F4,MI_PICKUP_BODYARMOUR
0x5F5B18,0x6028F8,MI_PICKUP_INFO
0x5F5B1C,0x6028FC,MI_PICKUP_HEALTH
0x5F5B20,0x602900,MI_PICKUP_BONUS
0x5F5B24,0x602904,MI_PICKUP_BRIBE
0x5F5B28,0x602908,MI_PICKUP_KILLFRENZY
0x5F5B2C,0x60290C,MI_PICKUP_CAMERA
0x5F5B4C,0x60292C,MI_PETROLPUMP
0x5F5B50,0x602930,MI_BODYCAST
0x5F5B5C,0x60293C,MI_BUOY
0x5F5B64,0x602944,MI_SUBWAY1
0x5F5B68,0x602948,MI_SUBWAY2
0x5F5B6C,0x60294C,MI_SUBWAY3
0x5F5B70,0x602950,MI_SUBWAY4
0x5F5B74,0x602954,MI_SUBWAY5
0x5F5B78,0x602958,MI_SUBWAY6
0x5F5B7C,0x60295C,MI_SUBWAY7
0x5F5B80,0x602960,MI_SUBWAY8
0x5F5B84,0x602964,MI_SUBWAY9
0x5F5B88,0x602968,MI_SUBWAY10
0x5F5B8C,0x60296C,MI_SUBWAY11
0x5F5B90,0x602970,MI_SUBWAY12
0x5F5B94,0x602974,MI_SUBWAY13
0x5F5B98,0x602978,MI_SUBWAY14
0x5F5B9C,0x60297C,MI_SUBWAY15
0x5F5BA0,0x602980,MI_SUBWAY16
0x5F5BA4,0x602984,MI_SUBWAY17
0x5F5BA8,0x602988,MI_SUBWAY18
0x5F5BC4,0x6029A4,MI_FILES
0x5F69D0,0x6037B0,`vtable for'CPhysical
0x5F6A28,0x603808,`vtable for'CPlaceable
0x5F6EF8,0x603CD8,gRadarTexNames
0x5F7610,0x6043F0,dwPerfFrequency
0x5F7614,0x6043F4,CTimer::m_snTimeInMillisecondsPauseMode
0x5F76C8,0x6044A8,CTimeStep::ms_fTimeStep
0x5F76CC,0x6044AC,CTimeStep::ms_fFramesPerUpdate
0x5F76D0,0x6044B0,CTimeStep::ms_fTimeScale
0x5F7714,0x6044F4,CWanted::MaximumWantedLevel
0x5F7718,0x6044F8,CWanted::nMaximumWantedLevel
0x5F7C08,0x6049E8,`vtable for'CCutsceneHead
0x5F7C80,0x604A60,`vtable for'CCutsceneObject
0x5F7CEC,0x604ACC,`vtable for'CDummyObject
0x5F7D4C,0x604B2C,CObject::nBodyCastHealth
0x5F7DD4,0x604BB4,`vtable for'CObject
0x5F8030,0x604E10,`vtable for'CParticleObject
0x5F8048,0x604E28,`vtable for'CProjectile
0x5F80B8,0x604E98,x2
0x5F819C,0x604F7C,`vtable for'CCivilianPed
0x5F82A4,0x605084,`vtable for'CCopPed
0x5F8374,0x605154,`vtable for'CEmergencyPed
0x5F8438,0x605218,x1
0x5F8C2C,0x605A0C,`vtable for'CPed
0x5F9858,0x606638,tFightMoves
0x5F9F74,0x606D54,CPedIK::ms_headRestoreInfo
0x5F9F8C,0x606D6C,CPedIK::ms_torsoInfo
0x5FA30C,0x6070EC,y1
0x5FA500,0x6072E0,`vtable for'CPlayerPed
0x5FA570,0x607350,CPopulation::m_AllRandomPedsThisType
0x5FA578,0x607358,aSafeZones
0x5FAB58,0x607938,`vtable for'CBaseModelInfo
0x5FAF44,0x607D24,gpCoronaTexture
0x5FBC6C,0x608A4C,CDraw::ms_fFOV
0x5FDF74,0x60AD54,`vtable for'CMloModelInfo
0x5FDF98,0x60AD78,`vtable for'CSimpleModelInfo
0x5FDFB8,0x60AD98,`vtable for'CTimeModelInfo
0x5FDFD8,0x60ADB8,`vtable for'CVehicleModelInfo
0x5FDFFC,0x60ADDC,`vtable for'CPedModelInfo
0x5FE020,0x60AE00,`vtable for'CClumpModelInfo
0x5FE044,0x60AE24,`vtable for'CXtraCompsModelInfo
0x5FE068,0x60AE48,`vtable for'CInstance
0x5FE3F8,0x5F9EAC,size
0x5FE678,0x60B458,path
0x5FE7A4,0x60B584,CPedModelInfo::m_pPedIds
0x5FF2EC,0x60C0CC,CVehicleModelInfo::ms_compsToUse
0x5FF634,0x60C414,boatIds
0x5FF6D8,0x60C4B8,trainIds
0x5FF788,0x60C568,heliIds
0x5FF838,0x60C618,planeIds
0x5FF8BC,0x60C69C,bikeIds
0x5FF988,0x60C768,CVehicleModelInfo::ms_vehicleDescs
0x5FF9A0,0x60C780,wheelIds
0x5FFBAC,0x60C98C,Windyness
0x5FFBC4,0x60C9A4,CWeather::SoundHandle
0x5FFBC8,0x60C9A8,WeatherTypesList
0x60006C,0x60CE4C,gGeomList
0x60009C,0x60CE7C,pExtraDirectionals
0x600124,0x60CF04,CVisibilityPlugins::ms_atomicPluginOffset
0x600128,0x60CF08,CVisibilityPlugins::ms_framePluginOffset
0x60012C,0x60CF0C,CVisibilityPlugins::ms_clumpPluginOffset
0x600C1C,0x60D9FC,`vtable for'CAutomobile
0x600CC8,0x60DAA8,MIN_WAKE_INTERVAL
0x600CCC,0x60DAAC,WAKE_LIFETIME
0x600EA4,0x60DC84,`vtable for'CBoat
0x6013E4,0x60E0BC,HandlingFilename
0x601EB0,0x60E978,`vtable for'CHeli
0x6021DC,0x60EB9C,`vtable for'CPlane
0x60241C,0x60EDDC,`vtable for'CTrain
0x60252C,0x60EEEC,CVehicle::m_bDisableMouseSteering
0x6028A8,0x60F270,`vtable for'CVehicle
