10en,Module,Name,DemangledName,Type,CC,RetType,Parameters,IsConst,Refs,Comment,Priority,VTIndex
0x401000,,_dbgprint,_dbgprint,"int(char *, ...)",ellipsis,int,char *:,0,0x401120 0 0x401050 1  0x401250 0 0x401190 1  0x401425 0 0x401380 1  0x40143A 0 0x401380 2  0x404709 0 0x404690 1  0x4049A6 0 0x404990 1  0x404B85 0 0x404A50 1  0x404C62 0 0x404A50 2  0x404EE2 0 0x404A50 3  0x406572 0 0x406530 1  0x4065D2 0 0x406580 1  0x406672 0 0x406610 1  0x4066B3 0 0x4066A0 1  0x4066D6 0 0x4066A0 2  0x40677E 0 0x406760 1  0x40826A 0 0x408260 1  0x40837F 0 0x408260 2  0x4085AE 0 0x4084F0 1  0x408739 0 0x4086F0 1  0x4087A6 0 0x4086F0 2  0x4088C3 0 0x4086F0 3  0x40A376 0 0x40A050 1  0x40A4CD 0 0x40A050 2  0x40AF7D 0 0x40AF60 1  0x40B4BF 0 0x40AF60 2  0x40BBCA 0 0x40B8A0 1  0x40C32B 0 0x40C1E0 1  0x40C3AC 0 0x40C1E0 2  0x40C4CD 0 0x40C1E0 3  0x40C544 0 0x40C1E0 4  0x40C754 0 0x40C1E0 5  0x40C9A4 0 0x40C770 1  0x40D99D 0 0x40D890 1  0x40FC4A 0 0x40FBC0 1  0x40FD92 0 0x40FBC0 2  0x410781 0 0x4100A0 1  0x4107A3 0 0x4100A0 2  0x438D02 0 0x438C30 1  0x438D5C 0 0x438C30 2  0x438DFA 0 0x438C30 3  0x438E65 0 0x438C30 4  0x442BB0 0 0x442A10 1  0x442F4C 0 0x442CD0 1  0x44E75C 0 0x44B400 1  0x453A24 0 0x453670 1  0x453C81 0 0x453670 2  0x454F4A 0 0x453670 3  0x456D08 0 0x455030 1  0x456D85 0 0x455030 2  0x45A0E9 0 0x458EC0 1  0x45A746 0 0x458EC0 2  0x45B431 0 0x45B220 1  0x45F35F 0 0x45F180 1  0x45F412 0 0x45F180 2  0x4871B5 0 0x4871B0 1  0x4871F1 0 0x4871B0 2  0x487CFF 0 0x487C70 1  0x48A2F5 0 0x48A2F0 1  0x48A877 0 0x48A7E0 1  0x48A8EA 0 0x48A7E0 2  0x48A9B3 0 0x48A910 1  0x48AA7A 0 0x48A910 2  0x48AAB5 0 0x48AAA0 1  0x48AB80 0 0x48AAA0 2  0x48ACC8 0 0x48ABB0 1  0x48B06C 0 0x48B050 1  0x48BA64 0 0x48B050 2  0x48C839 0 0x48C810 1  0x48D555 0 0x48D540 1  0x48D585 0 0x48D540 2  0x48D5BC 0 0x48D590 1  0x48D5D5 0 0x48D590 2  0x48D71F 0 0x48D710 1  0x48D7CE 0 0x48D7C0 1  0x48D891 0 0x48D810 1  0x48DA5A 0 0x48D950 1  0x48DB6F 0 0x48D950 2  0x4A4D9B 0 0x4A4B10 1  0x4A52D4 0 0x4A52C0 1  0x4A52E2 0 0x4A52C0 2  0x4A52F0 0 0x4A52C0 3  0x4A52FE 0 0x4A52C0 4  0x4A530C 0 0x4A52C0 5  0x4C0082 0 0x4C0070 1  0x4C009A 0 0x4C0070 2  0x4C00B2 0 0x4C0070 3  0x4C00CA 0 0x4C0070 4  0x4C00E2 0 0x4C0070 5  0x4C00FA 0 0x4C0070 6  0x4C0112 0 0x4C0070 7  0x4C012A 0 0x4C0070 8  0x4C0142 0 0x4C0070 9  0x4C015A 0 0x4C0070 10  0x4CA106 0 0x4C9F40 1  0x4D05EF 0 0x4D05E0 1  0x4D0D58 0 0x4D05E0 2  0x4D130E 0 0x4D1300 1  0x4D13E8 0 0x4D1300 2  0x4DB74B 0 0x4DB590 1  0x4DB7A4 0 0x4DB590 2  0x4DB7FE 0 0x4DB590 3  0x4DB858 0 0x4DB590 4  0x4DB8B2 0 0x4DB590 5  0x4DB90C 0 0x4DB590 6  0x4DB966 0 0x4DB590 7  0x4E495D 0 0x4E4560 1  0x50D9F5 0 0x50D9F0 1  0x50DA0F 0 0x50D9F0 2  0x530226 0 0x530220 1  0x530249 0 0x530220 2  0x530266 0 0x530260 1  0x53031B 0 0x530260 2  0x53032B 0 0x530260 3  0x530EC6 0 0x530EC0 1  0x530EE9 0 0x530EC0 2  0x530F06 0 0x530F00 1  0x530F8B 0 0x530F00 2  0x530F9B 0 0x530F00 3  0x53EAF5 0 0x53EAF0 1  0x53EBE2 0 0x53EAF0 2  0x54F875 0 0x54F5C0 1  0x55CE7A 0 0x55CE20 1  0x55D097 0 0x55CE20 2  0x55D103 0 0x55CE20 3  0x55FA4B 0 0x55FA40 1  0x55FA5C 0 0x55FA40 2  0x55FA6D 0 0x55FA40 3  0x55FA7E 0 0x55FA40 4  0x55FA8F 0 0x55FA40 5  0x55FAA0 0 0x55FA40 6  0x55FAB1 0 0x55FA40 7  0x564AE6 0 0x564AE0 1  0x564EB2 0 0x564AE0 2  0x56592E 0 0x564EC0 1  0x565945 0 0x565940 1  0x56595A 0 0x565940 2  0x56F508 0 0x56F420 1  0x56F7F8 0 0x56F790 1  0x580C4C 0 0x580BF0 1  0x580CBC 0 0x580C60 1  0x580D4C 0 0x580CD0 1  0x5A7459 0 0x5A71C0 1  0x5C48A5 0 0x5C48A0 1  0x5C48B0 0 0x5C48A0 2  0x5C48C5 0 0x5C48C0 1  0x5C4AE4 0 0x5C48C0 2  0x5C6825 0 0x5C6820 1  0x5C6853 0 0x5C6820 2  0x5C6905 0 0x5C6900 1  0x5C6939 0 0x5C6900 2  0x5C7C15 0 0x5C7C10 1  0x5C7C20 0 0x5C7C10 2  0x5C7C36 0 0x5C7C30 1  0x5C7E24 0 0x5C7C30 2  0x5C8395 0 0x5C8390 1  0x5C83A0 0 0x5C8390 2  0x5C83B5 0 0x5C83B0 1  0x5C8490 0 0x5C83B0 2  0x5D4A20 0 0x5D45E0 1  0x5D5735 0 0x5D5730 1  0x5D5740 0 0x5D5730 2  0x5D5755 0 0x5D5750 1  0x5D5858 0 0x5D5750 2  0x5D5868 0 0x5D5750 3  0x5EFA68 0 0x5EFA00 1  0x5F0998 0 0x5F0900 1  0x5F125D 0 0x5F0EA0 1  0x5F224D 0 0x5F20B0 1  0x5FA995 0 0x5FA6F0 1  0x5FCD99 0 0x5FCC80 1  0x5FD579 0 0x5FD4F0 1  0x600815 0 0x6007D0 1  0x600849 0 0x6007D0 2  0x60087B 0 0x6007D0 3  0x6008AE 0 0x6007D0 4  0x6008DE 0 0x6007D0 5  0x60090E 0 0x6007D0 6  0x60093E 0 0x6007D0 7  0x60096D 0 0x6007D0 8  0x60099A 0 0x6007D0 9  0x6009D4 0 0x6007D0 10  0x600A32 0 0x6007D0 11  0x600A5D 0 0x6007D0 12  0x600A8A 0 0x6007D0 13  0x600F32 0 0x600DA0 1  0x600F5E 0 0x600DA0 2  0x601496 0 0x6010B0 1  0x6014BD 0 0x6010B0 2  0x601B8B 0 0x6019E0 1  0x601BA0 0 0x6019E0 2  0x601BB3 0 0x6019E0 3  0x601BC6 0 0x6019E0 4  0x601C00 0 0x6019E0 5  0x601C1F 0 0x6019E0 6  0x601C3B 0 0x6019E0 7  0x601C6F 0 0x6019E0 8  0x601C86 0 0x6019E0 9  0x601CB0 0 0x6019E0 10  0x601DDF 0 0x6019E0 11  0x601DF1 0 0x6019E0 12  0x601E03 0 0x6019E0 13  0x601E15 0 0x6019E0 14  0x606832 0 0x606730 1  0x606849 0 0x606730 2  0x607105 0 0x606730 3  0x607155 0 0x606730 4  0x61AA7D 0 0x61A700 1  0x61AB99 0 0x61A700 2  0x61ACB9 0 0x61A700 3  0x61ADD9 0 0x61A700 4  0x61AEF9 0 0x61A700 5  0x61B023 0 0x61A700 6  0x61B139 0 0x61A700 7  0x61B161 0 0x61A700 8  0x61B379 0 0x61A700 9  0x61B499 0 0x61A700 10  0x61B5B9 0 0x61A700 11  0x61B6D9 0 0x61A700 12  0x61B7F9 0 0x61A700 13  0x61B919 0 0x61A700 14  0x61BA39 0 0x61A700 15  0x61BB59 0 0x61A700 16  0x61BC79 0 0x61A700 17  0x61BD99 0 0x61A700 18  0x61BEB9 0 0x61A700 19  0x61BFE9 0 0x61A700 20  0x61C109 0 0x61A700 21  0x61C229 0 0x61A700 22  0x61C349 0 0x61A700 23  0x61C40E 0 0x61A700 24  0x61C774 0 0x61C420 1  0x61C7FD 0 0x61C420 2  0x61C876 0 0x61C420 3  0x61C8F3 0 0x61C420 4  0x61C973 0 0x61C420 5  0x61C9F3 0 0x61C420 6  0x61CA80 0 0x61C420 7  0x61CAF9 0 0x61C420 8  0x61CB73 0 0x61C420 9  0x61CBF6 0 0x61C420 10  0x61CC73 0 0x61C420 11  0x61CCF3 0 0x61C420 12  0x61CD73 0 0x61C420 13  0x61CDF3 0 0x61C420 14  0x61CE73 0 0x61C420 15  0x61CEF3 0 0x61C420 16  0x61CF73 0 0x61C420 17  0x61CFF3 0 0x61C420 18  0x61D084 0 0x61C420 19  0x61D103 0 0x61C420 20  0x61D190 0 0x61C420 21  0x61D209 0 0x61C420 22  0x61D283 0 0x61C420 23  0x61F137 0 0x61F0E0 1  0x61F1E7 0 0x61F0E0 2  0x61F2A5 0 0x61F200 1  0x622115 0 0x621DF0 1  0x622AF5 0 0x6225B0 1  0x6239C8 0 0x623730 1  0x6252C2 0 0x625270 1  0x62531B 0 0x625270 2  0x6253BB 0 0x625330 1  0x625422 0 0x6253D0 1  0x62547B 0 0x6253D0 2  0x62551B 0 0x625490 1  0x62557D 0 0x625530 1  0x6255D0 0 0x625530 2  0x62565D 0 0x6255E0 1  0x6256BD 0 0x625670 1  0x625710 0 0x625670 2  0x62579D 0 0x625720 1  0x6257FD 0 0x6257B0 1  0x625850 0 0x6257B0 2  0x6258DD 0 0x625860 1  0x625934 0 0x6258F0 1  0x62598B 0 0x6258F0 2  0x625A1B 0 0x6259A0 1  0x62708C 0 0x627080 1  0x6271E7 0 0x6271E0 1  0x62A825 0 0x62A7B0 1  0x62ED36 0 0x62E940 1  0x62F91A 0 0x62E940 2  0x63199B 0 0x630650 1,,0,-1
0x401010,,_ZN20CAnimBlendAssocGroup13CopyAnimationEj,CAnimBlendAssocGroup::CopyAnimation(uint),,,,,0,0x4057C8 0 0x405640 1  0x4058CB 0 0x4058B0 1,,0,-1
0x401050,,_ZN20CAnimBlendAssocGroup13CopyAnimationEPKc,CAnimBlendAssocGroup::CopyAnimation(char const*),,,,,0,0x406701 0 0x4066A0 1,,0,-1
0x401180,,_ZN20CAnimBlendAssocGroup12GetAnimationEj,CAnimBlendAssocGroup::GetAnimation(uint),,,,,0,0x40556A 0 0x405430 1  0x405690 0 0x405640 1  0x4056CB 0 0x405640 2  0x405979 0 0x405960 1,,0,-1
0x401190,,_ZN20CAnimBlendAssocGroup12GetAnimationEPKc,CAnimBlendAssocGroup::GetAnimation(char const*),,,,,0,0x405959 0 0x405940 1  0x40668A 0 0x406680 1  0x4066C7 0 0x4066A0 1,,0,-1
0x401270,,_ZN20CAnimBlendAssocGroup19DestroyAssociationsEv,CAnimBlendAssocGroup::DestroyAssociations(void),,,,,0,0x4049BE 0 0x404990 1,,0,-1
0x4012A0,,_ZN20CAnimBlendAssocGroup18CreateAssociationsEPKcP7RpClumpPPci,"CAnimBlendAssocGroup::CreateAssociations(char const*,RpClump *,char **,int)",,,,,0,0x40553E 0 0x405430 1,,0,-1
0x401380,,_ZN20CAnimBlendAssocGroup18CreateAssociationsEPKc,CAnimBlendAssocGroup::CreateAssociations(char const*),,,,,0,0x406E14 0 0x406D30 1,,0,-1
0x4014D0,,_Z16GetModelFromNamePKc,GetModelFromName(char const*),,,,,0,0x401413 0 0x401380 1,,0,-1
0x401590,,_Z20strcmpIgnoringDigitsPKcS0_,"strcmpIgnoringDigits(char const*,char const*)",,,,,0,0x401557 0 0x4014D0 1,,0,-1
