10en,11en,NameComment
0x67E838,0x67E838,IdentityMatrix
0x67E9C8,0x67E9C8,riid
0x67E9D8,0x67E9D8,rclsid
0x67EC9C,0x67EC9C,iid
0x67EE9C,0x67EE9C,stDiDataFormat
0x67FC90,0x67FC90,_RwD3D8PrimConv
0x680074,0x680074,TlsDirectory
0x680078,0x680078,TlsEnd_ptr
0x68007C,0x68007C,TlsIndex_ptr
0x680080,0x680080,TlsCallbacks_ptr
0x680084,0x680084,TlsSizeOfZeroFill
0x680088,0x680088,TlsCharacteristics
0x68308C,0x68308C,CAnimBlendAssociation_VTable
0x6830C0,0x6830C0,CAnimBlendSequence_VTable
0x6830C8,0x6830C8,fAnimZero
0x6830CC,0x6830CC,fAnimOne
0x683190,0x683190,fAnimZeroA
0x6857B0,0x6857B0,stAnimGroupTexts
0x6857B4,0x6857B4,pszAnimSectionName
0x6857B8,0x6857B8,nInitModelIndex
0x6857BC,0x6857BC,nGroupAnimCount
0x6857C0,0x6857C0,nGroupAnimNames
0x6857C4,0x6857C4,nGroupAnimInfoList
0x68658C,0x68658C,CBuilding_VTable
0x6865DC,0x6865DC,CTreadable_VTable
0x686DBC,0x686DBC,a
0x686FC8,0x686FC8,fCarDensity
0x686FCC,0x686FCC,dwSpawnVehicleLimit
0x687138,0x687138,fDestructRngOffscrVeh
0x687598,0x687598,fGameLogicCamFade2
0x688098,0x688098,PickupTextParameters
0x688784,0x688784,Opcode200To300
0x688D0C,0x688D0C,Opcode100To200
0x689238,0x689238,Opcode000To100
0x689514,0x689514,Opcode400To500
0x6898F8,0x6898F8,Opcode700To800
0x68AE2C,0x68AE2C,fCamDistFromPlayer
0x68B360,0x68B360,CDummy_VTable
0x68B5DC,0x68B5DC,CEntity_VTable
0x68BD50,0x68BD50,CFileMgr::ms_rootDirName
0x68D078,0x68D078,fMultiplyByHalf
0x68DD64,0x68DD64,CGame::bDemoMode
0x68DD68,0x68DD68,CGame::nastyGame
0x68DD84,0x68DD84,fDefaultFOV
0x68E4BC,0x68E4BC,pSplashNameArray
0x68E810,0x68E810,wMIDTrafficLight1
0x68E814,0x68E814,wMIDMTraffic4
0x68E818,0x68E818,wMIDMTraffic1
0x68E81C,0x68E81C,wMIDMTraffic2
0x68E820,0x68E820,wMIDLampPost1
0x68E824,0x68E824,wMIDLampPost2
0x68E828,0x68E828,wMIDLampPost3
0x68E82C,0x68E82C,wMIDDoubleStreetLght1
0x68E830,0x68E830,wMIDStreetlamp1
0x68E834,0x68E834,wMIDStreetlamp2
0x68E838,0x68E838,wMIDVeg_Tree3
0x68E83C,0x68E83C,wMIDVeg_Treea1
0x68E840,0x68E840,wMIDVeg_Treeb1
0x68E844,0x68E844,wMIDVeg_Treea3
0x68E848,0x68E848,wMIDDoc_Crane_Cab0
0x68E84C,0x68E84C,wMIDDoc_Crane_Cab01
0x68E850,0x68E850,wMIDDoc_Crane_Cab02
0x68E854,0x68E854,wMIDDoc_Crane_Cab03
0x68E858,0x68E858,wMIDBoatCranelg0
0x68E85C,0x68E85C,wMIDLODnetopa0
0x68E860,0x68E860,wMIDParkingMeter
0x68E864,0x68E864,wMIDParkingMeterg
0x68E868,0x68E868,wMIDMall_Fans
0x68E86C,0x68E86C,wMIDHtl_Fan_Rotate_Nt
0x68E870,0x68E870,WMIDHtl_Fan_Rotate_Dy
0x68E874,0x68E874,wMIDHotRoomFan
0x68E878,0x68E878,wMIDPhoneBooth1
0x68E87C,0x68E87C,wMIDWasteBin
0x68E880,0x68E880,wMIDBin1
0x68E884,0x68E884,wMIDPostBox1
0x68E888,0x68E888,wMIDNewsStand1
0x68E88C,0x68E88C,wMIDTrafficCone
0x68E890,0x68E890,wMIDDump1
0x68E894,0x68E894,wMIDRoadWorkBarrier1
0x68E898,0x68E898,wMIDBusSign1
0x68E89C,0x68E89C,wMIDNoParkingSign1
0x68E8A0,0x68E8A0,wMIDPhoneSign
0x68E8A4,0x68E8A4,wMIDFireHydrant
0x68E8A8,0x68E8A8,wMIDPackage1
0x68E8AC,0x68E8AC,wMIDMoney
0x68E8B0,0x68E8B0,wMIDBarrel1
0x68E8B4,0x68E8B4,wMID_Dk_Paynspraydoor
0x68E8B8,0x68E8B8,wMID_Dk_Waretankdoor1
0x68E8BC,0x68E8BC,wMIDHav_Garagedoor1
0x68E8C0,0x68E8C0,wMIDHav_Garagedoor02
0x68E8C4,0x68E8C4,wMIDHav_Garagedoor03
0x68E8C8,0x68E8C8,wMIDHav_Garagedoor04
0x68E8CC,0x68E8CC,wMIDLh_Showdoor03
0x68E8D0,0x68E8D0,wMIDLh_Showdoor1
0x68E8D4,0x68E8D4,wMIDLhtankdoor
0x68E8D8,0x68E8D8,wMIDNbtgardoor
0x68E8DC,0x68E8DC,wMIDDk_Camjonesdoor
0x68E8E0,0x68E8E0,wMIDNbtgardoor02
0x68E8E4,0x68E8E4,wMIDDt_savedra
0x68E8E8,0x68E8E8,wMIDDt_savedrb
0x68E8EC,0x68E8EC,wMIDDk_bombdoor
0x68E8F0,0x68E8F0,wMIDHaiwshpnsdoor
0x68E8F4,0x68E8F4,wMIDWshpnsdoor
0x68E8F8,0x68E8F8,wMIDNbecpnsdoor
0x68E8FC,0x68E8FC,wMIDNbtgardoor03
0x68E900,0x68E900,wMIDDt_Savedrc
0x68E904,0x68E904,wMIDDt_Savedrd
0x68E908,0x68E908,wMIDMan_FrntstepGD
0x68E90C,0x68E90C,wMIDSvegrgedoor
0x68E910,0x68E910,wMIDBarrel2
0x68E914,0x68E914,wMIDBriefcase
0x68E918,0x68E918,wMIDGlasssmash
0x68E91C,0x68E91C,wMIDGlassfx_Composh
0x68E920,0x68E920,wMIDBarrel4
0x68E924,0x68E924,wMIDAdrenaline
0x68E928,0x68E928,wMIDBodyarmour
0x68E92C,0x68E92C,wMIDInfo
0x68E930,0x68E930,wMIDHealth
0x68E934,0x68E934,wMIDBonus
0x68E938,0x68E938,wMIDBribe
0x68E93C,0x68E93C,wMIDKillFrenzy
0x68E940,0x68E940,wMIDCamerapickup
0x68E944,0x68E944,wMIDBigdollar
0x68E948,0x68E948,wMIDPickupsave
0x68E94C,0x68E94C,wMIDProperty_Locked
0x68E950,0x68E950,wMIDProperty_Fsale
0x68E954,0x68E954,wMIDClothesp
0x68E958,0x68E958,wMIDBollardlight
0x68E95C,0x68E95C,wMIDBar_Barrier10
0x68E960,0x68E960,wMIDBar_Barrier12
0x68E964,0x68E964,wMIDPetrolpump
0x68E968,0x68E968,wMIDWashgaspump
0x68E96C,0x68E96C,wMIDBouy
0x68E970,0x68E970,wMIDParktable1
0x68E974,0x68E974,wMIDLamppost1
0x68E978,0x68E978,wMIDVeg_Palm04
0x68E97C,0x68E97C,wMIDVeg_Palwee02
0x68E980,0x68E980,wMIDVeg_Palmkbb11
0x68E984,0x68E984,wMIDVeg_Palmkb4
0x68E988,0x68E988,wMIDVeg_Palm02
0x68E98C,0x68E98C,wMIDVeg_Palmkb3
0x68E990,0x68E990,wMIDVeg_Palmbig14
0x68E994,0x68E994,wMIDVeg_Palm01
0x68E998,0x68E998,wMIDMlamppost
0x68E99C,0x68E99C,wMIDRoadworkbarrier
0x68E9A0,0x68E9A0,wMIDLittleha_Police
0x68E9A4,0x68E9A4,wMIDTelgrphpole02
0x68E9A8,0x68E9A8,wMIDTrafficlight1
0x68E9AC,0x68E9AC,wMIDParkbench1
0x68E9B0,0x68E9B0,wMIDPlc_Stinger
0x68E9B4,0x68E9B4,wMIDOd_Lightbeam
0x68E9B8,0x68E9B8,wMIDAp_Radar1_01
0x68E9BC,0x68E9BC,wMIDRcbomb
0x68E9C0,0x68E9C0,wMIDBeachball
0x68E9C4,0x68E9C4,wMIDSandcastle1
0x68E9C8,0x68E9C8,wMIDSandcastle2
0x68E9CC,0x68E9CC,wMIDJellyfish
0x68E9D0,0x68E9D0,wMIDJellyfish01
0x68E9D4,0x68E9D4,wMIDFish1single
0x68E9D8,0x68E9D8,wMIDFish1s
0x68E9DC,0x68E9DC,wMIDFish2single
0x68E9E0,0x68E9E0,wMIDFish2s
0x68E9E4,0x68E9E4,wMIDFish3single
0x68E9E8,0x68E9E8,wMIDFish3s
0x68E9EC,0x68E9EC,wMIDTurtle
0x68E9F0,0x68E9F0,wMIDDolphin
0x68E9F4,0x68E9F4,wMIDShark
0x68E9F8,0x68E9F8,wMIDSubmarine
0x68E9FC,0x68E9FC,wMIDEsc_Step
0x68EA00,0x68EA00,wMIDLounge_Wood_Up
0x68EA04,0x68EA04,wMIDLounge_Towel_Up
0x68EA08,0x68EA08,wMIDLounge_Wood_Dn
0x68EA0C,0x68EA0C,wMIDLotion
0x68EA10,0x68EA10,wMIDBeachtowel01
0x68EA14,0x68EA14,wMIDBeachtowel02
0x68EA18,0x68EA18,wMIDBeachtowel03
0x68EA1C,0x68EA1C,wMIDBeachtowel04
0x68EA20,0x68EA20,wMIDBlimp_Night
0x68EA24,0x68EA24,wMIDBlimp_Day
0x68EA28,0x68EA28,wMIDYt_Main_Body
