10us,Module,Name,DemangledName,Type,Attributes,Comment
0x8A4000,,___xc_a,___xc_a,void (__cdecl *[1695])(),array,
0x8A5A80,,_ZN10CStreaming18ms_memoryAvailableE,CStreaming::ms_memoryAvailable,_DWORD,,
0x8A5A8C,,dword_8A5A8C,dword_8A5A8C,int[],array,
0x8A5AA0,,_ZN10CStreaming14copModelByTownE,CStreaming::copModelByTown,int[4],array,
0x8A5AB4,,_ambulanceByTown,_ambulanceByTown,signed int,,
0x8A5AC4,,_medicModelsByTown,_medicModelsByTown,signed int,,
0x8A5AD4,,_firetruckModelsByTown,_firetruckModelsByTown,signed int,,
0x8A5AE4,,_firemanModelsByTown,_firemanModelsByTown,int[4],array,
0x8A5AF4,,dword_8A5AF4,dword_8A5AF4,int[],array,
0x8A5B10,,gLimitPrecisionOfBinarySearch,gLimitPrecisionOfBinarySearch,float,,
0x8A5CC0,,dword_8A5CC0,dword_8A5CC0,int (*)(void),function,
0x8A5CC4,,dword_8A5CC4,dword_8A5CC4,int (*)(void),function,
0x8A5E3C,,dword_8A5E3C,dword_8A5E3C,float,,
0x8A5E40,,num,num,float,,
0x8A5F44,,EmptyNodeAddress,EmptyNodeAddress,CNodeAddress,,
0x8A5F50,,AmmoForWeapon_OnStreet,AmmoForWeapon_OnStreet,unsigned __int16[48],array,
0x8A5FB0,,byte_8A5FB0,byte_8A5FB0,char[],array,
0x8A5FB1,,byte_8A5FB1,byte_8A5FB1,char[],array,
0x8A5FB2,,byte_8A5FB2,byte_8A5FB2,char[],array,
0x8A61D8,,off_8A61D8,off_8A61D8,char *,,
0x8A6214,,traflight_colorRedTable,traflight_colorRedTable,char[],array,
0x8A6218,,traflight_colorGreenTable,traflight_colorGreenTable,char[],array,
0x8A6230,,g_blendFunctions,g_blendFunctions,int[],array,
0x8A625C,,flt_8A625C,flt_8A625C,float,,
0x8A6260,,factor,factor,float,,
0x8A6268,,_ZN13CPedModelInfo9m_pPedIdsE,CPedModelInfo::m_pPedIds,RwObjectNameIdAssocation[13],array,
0x8A6978,,heliIds,heliIds,RwObjectNameIdAssocation,,
0x8A7740,,_ZN17CVehicleModelInfo15ms_vehicleDescsE,CVehicleModelInfo::ms_vehicleDescs,RwObjectNameIdAssocation *[12],array,
0x8A7770,,wheelIds,wheelIds,int[],array,
0x8AA5A8,,_ZN12CAnimManager24ms_aAnimAssocDefinitionsE,CAnimManager::ms_aAnimAssocDefinitions,CAnimationStyleDescriptor[118],array,
0x8ABC70,,dword_8ABC70,dword_8ABC70,int[],array,
0x8AC198,,byte_8AC198,byte_8AC198,char[192],array,
0x8AC270,,flt_8AC270,flt_8AC270,float[1280],array,
0x8AD670,,gAudioZoneToReverbEnvironmentMap,gAudioZoneToReverbEnvironmentMap,tAudioEnvironment[68],array,
0x8AD908,,dword_8AD908,dword_8AD908,int[],array,
